,lgX,eventId,eventStart,Teamid_0,Teamid_1,siX,btX,marketLineId,marketId,points,american_price,price,sourcePrice
79,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt1,-1050,222151968,1513905,0.0,-1050,1.0952381
80,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt2,-120,222155560,1513934,-2.5,-120,-120.0
81,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt3,-104,222152688,1513936,5.5,-104,-104.0
82,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms2:an0,bt1,-270,222155558,1513905,0.0,-270,-270.0
83,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt2,130,222163836,1513934,-0.5,130,130.0
84,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt3,105,222163841,1513936,7.5,105,105.0
85,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt1,-122,222163832,1513905,,-122,-122.0
86,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt2,-110,222152859,1513934,-1.0,-110,2.27272
87,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt3,-110,222152863,1513936,-1.0,-110,2.08333
88,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt1,-110,222152854,1513905,,-110,1.02564
89,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt3,-120,222152163,1513935,3.5,-120,1.83333334
90,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt1,650,222151955,1513903,0.0,650,7.5
91,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt2,-180,222152159,1513933,3.5,-180,1.55555556
92,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms2:an0,bt3,-130,222152687,1513935,5.5,-130,-130.0
93,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms2:an0,bt1,192,222155556,1513903,0.0,192,192.0
94,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms2:an0,bt2,-110,222155559,1513933,2.5,-110,-110.0
95,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt3,-125,222163839,1513935,7.5,-125,-125.0
96,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt1,103,222163831,1513903,,103,103.0
97,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt2,-150,222163833,1513933,0.5,-150,-150.0
98,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt3,-110,222152861,1513935,-1.0,-110,1.78571
99,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt1,-110,222152853,1513903,,-110,15.38461
100,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt2,-110,222152856,1513933,-1.0,-110,1.66666
101,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt3,-139,222154032,1513935,7.5,-139,-139.0
102,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt1,105,222154027,1513903,,105,105.0
103,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt2,-161,222154029,1513933,1.5,-161,-161.0
104,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt3,-145,222152246,1513935,4.5,-145,1.69
105,lg1:pt4:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt2,-145,222152243,1513933,0.5,-145,1.69
106,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt2,-155,222151999,1513912,-2.5,-155,1.6451613
107,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt3,-120,222152013,1513921,7.5,-120,1.83333334
108,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt1,-315,222152033,1513929,0.0,-315,1.31746032
109,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt2,-123,222163822,1513912,0.5,-123,-123.0
110,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt3,-125,222163826,1513921,13.5,-125,-125.0
111,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt1,109,222163818,1513929,,109,109.0
112,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt2,-110,222152868,1513912,-1.0,-110,1.83486
113,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt3,-110,222152871,1513921,-1.0,-110,1.94174
114,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt1,-110,222152865,1513929,,-110,2.10526
115,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt2,-135,222152206,1513912,0.5,-135,1.74
116,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt3,-125,222152239,1513921,7.5,-125,1.8
117,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt2,125,222152009,1513916,2.5,125,2.25
118,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt3,-110,222152028,1513926,7.5,-110,1.90909091
