,marketLineId,isBlurred,marketId,marketSourceId,points,price,americanPrice,sourcePrice,sourceFormat,alternateNumber,statusId,sequenceNumber,overrideType,includePeg,stn,cr,ib,tm,createdOn,createdBy,modifiedOn,modifiedBy,id,0
si1:ms31:an0,218437925.0,False,1447777.0,31.0,,-159.0,-159.0,-159.0,1.0,0.0,1.0,1670963382609.0,,True,0.0,-159.0,True,,2022-12-12T15:32:19.96049,-11.0,2022-12-13T20:29:44.675481,-11.0,,
si1:ms10:an0,218437917.0,False,1447777.0,10.0,,-150.0,-150.0,-150.0,1.0,0.0,1.0,1670963556739.0,,True,0.0,-150.0,True,,2022-12-12T15:32:19.817947,-11.0,2022-12-13T20:32:38.464594,-11.0,,
si1:ms9:an0,218437915.0,False,1447777.0,9.0,,-144.0,-144.0,-144.0,1.0,0.0,1.0,1670963246128.0,,True,0.0,-144.0,True,,2022-12-12T15:32:19.797811,-11.0,2022-12-13T20:27:28.647289,-11.0,,
si1:ms2:an0,211902293.0,False,1447777.0,2.0,0.0,-148.0,-148.0,-148.0,1.0,0.0,1.0,1670968519573.0,,True,0.0,-148.0,True,,2022-12-06T21:43:50.450025,-20.0,2022-12-13T21:55:20.541621,-20.0,,
si1:ms3:an0,218437923.0,False,1447777.0,3.0,,-150.0,-150.0,-150.0,1.0,0.0,1.0,1670963196551.0,,True,0.0,-150.0,True,,2022-12-12T15:32:19.926314,-11.0,2022-12-13T20:26:38.774526,-11.0,,
si1:ms21:an0,219756746.0,False,1447777.0,21.0,,-154.0,-154.0,-154.0,1.0,0.0,1.0,1670971316222.0,,True,0.0,-154.0,True,,2022-12-13T04:52:15.417805,-16.0,2022-12-13T22:41:58.785877,-16.0,,
si1:ms1:an0,218444796.0,False,1447777.0,1.0,0.0,-150.0,-150.0,1.66666667,2.0,0.0,1.0,1670966008820.0,,True,0.0,-150.0,True,,2022-12-12T15:46:49.452061,-25.0,2022-12-13T21:13:31.176755,-25.0,,
si1:ms53:an0,218437920.0,False,1447777.0,53.0,,-144.0,-144.0,-144.0,1.0,0.0,1.0,1670963227438.0,,True,0.0,-144.0,True,,2022-12-12T15:32:19.85212,-11.0,2022-12-13T20:27:08.922608,-11.0,,
si1:ms56:an0,218437926.0,False,1447777.0,56.0,,-150.0,-150.0,-150.0,1.0,0.0,1.0,1670965651302.0,,True,0.0,-150.0,True,,2022-12-12T15:32:19.977589,-11.0,2022-12-13T21:07:33.333581,-11.0,,
si1:ms8:an0,218379876.0,False,1447777.0,8.0,,-145.0,-145.0,-145.0,1.0,0.0,1.0,1670967215479.0,,True,0.0,-145.0,True,,2022-12-12T13:22:28.23126,-6.0,2022-12-13T21:33:35.903187,-6.0,,
